id,symbol,name,price_usd,market_cap_usd,volume_usd,high_24h_usd,low_24h_usd,price_change_pct_24h,last_updated
bitcoin,btc,Bitcoin,93974.0,1866441449815,19231058824,95742.0,93806.0,-1.5681,2025-05-05 11:44:33.967000+00:00
ethereum,eth,Ethereum,1800.49,217371085197,8692058862,1839.29,1787.46,-1.70212,2025-05-05 11:45:15.671000+00:00
solana,sol,Solana,143.81,74520585328,2064294796,147.48,143.03,-1.17907,2025-05-05 11:45:16.865000+00:00
